Frequency (Hz), |h_k|
-4.978637695312500000e+02,9.321229415879054159e+01
-4.978332519531250000e+02,2.834267762908963277e+02
-4.978027343750000000e+02,1.795842495054384642e+02
-4.977722167968750000e+02,2.736422881360855399e+02
-4.977416992187500000e+02,1.920087711597910527e+02
-4.977111816406250000e+02,3.681936890115754863e+02
-4.976806640625000000e+02,2.966737773014302775e+02
-4.976501464843750000e+02,9.084844803742294062e+01
-4.976196289062500000e+02,1.049022679586552727e+02
-4.975891113281250000e+02,7.731067641470856699e+01
-4.975585937500000000e+02,7.234782454362002113e+01
-4.975280761718750000e+02,1.900185124387294024e+02
-4.974975585937500000e+02,2.439724617443592365e+02
-4.974670410156250000e+02,1.504991350618522574e+02
-4.974365234375000000e+02,6.643465801825368544e+01
-4.974060058593750000e+02,1.071776684193017815e+02
-4.973754882812500000e+02,1.600960450685257399e+02
-4.973449707031250000e+02,1.058327549638281511e+02
-4.973144531250000000e+02,5.392382144974482827e+01
-4.972839355468750000e+02,3.035128677193918065e+02
-4.972534179687500000e+02,2.501486622551279311e+02
-4.972229003906250000e+02,1.549351528534784279e+02
-4.971923828125000000e+02,2.048239240432530721e+02
-4.971618652343750000e+02,2.563087030158532684e+02
-4.971313476562500000e+02,2.297905796892954697e+02
-4.971008300781250000e+02,7.090298213848764419e+01
-4.970703125000000000e+02,1.933196184153518686e+02
-4.970397949218750000e+02,2.100612013603159482e+02
-4.970092773437500000e+02,1.778634511245086287e+02
-4.969787597656250000e+02,1.540061039071061089e+02
-4.969482421875000000e+02,2.767706940999343601e+02
-4.969177246093750000e+02,9.613320321862153151e+01
-4.968872070312500000e+02,8.209190789508488706e+01
-4.968566894531250000e+02,1.011882548115197551e+02
-4.968261718750000000e+02,2.166015568682164485e+02
-4.967956542968750000e+02,1.243245919806845734e+02
-4.967651367187500000e+02,2.996653798254912999e+02
-4.967346191406250000e+02,2.331544435158162401e+02
-4.967041015625000000e+02,2.213651125451287669e+02
-4.966735839843750000e+02,1.253395435302241054e+02
-4.966430664062500000e+02,3.548941379004352257e+02
-4.966125488281250000e+02,1.747425367880725844e+02
-4.965820312500000000e+02,1.239576652119135503e+02
-4.965515136718750000e+02,1.849398766159415857e+02
-4.965209960937500000e+02,1.814716876750429719e+02
-4.964904785156250000e+02,1.997450574349497288e+02
-4.964599609375000000e+02,2.469923173027035261e+02
-4.964294433593750000e+02,2.620576328485372528e+02
-4.963989257812500000e+02,1.789850238692246194e+02
-4.963684082031250000e+02,1.742202020600118431e+02
-4.963378906250000000e+02,7.929874065699328867e+01
-4.963073730468750000e+02,2.061624325743241855e+02
-4.962768554687500000e+02,9.408453355770514293e+01
-4.962463378906250000e+02,6.007218546567646200e+01
-4.962158203125000000e+02,4.984151862833721225e+02
-4.961853027343750000e+02,1.846156643210289019e+02
-4.961547851562500000e+02,2.957427892464502293e+02
-4.961242675781250000e+02,1.069608109261582030e+02
-4.960937500000000000e+02,2.640801549354613940e+02
-4.960632324218750000e+02,3.482599014278727054e+02
-4.960327148437500000e+02,7.342464626154398388e+01
-4.960021972656250000e+02,1.881473036858189118e+02
